qid	docid	GPT-4o	Mistral-Small-Instruct-2409-Q6	Qwen2.5-14B-Instruct-Q8	Meta-Llama-3.1-8B-Instruct-Q8	Gemma-2-9B-it-Q8	Human	LLM_Majority	type
98	1YEA28Y5guaRX05tUcNU7P_720	0	0	0	0	1	0	0	topical
70	7sHRU65Pns9ULeuxtEVErJ_1260	0	0	0	0	0	0	0	topical
75	0qRHfHEfDL2InwY2NVHR9Y_2580	0	0	0	0	0	2	0	topical
108	1x3DknmrCRiUj1cnw0oDLh_780	1	1	2	0	2	0	1	known-item
100	2sBLZV4EfHppy6RNgU2nYT_660	1	1	2	3	3	0	1	known-item
80	1BSqqOOJx3VYKFtdUKV0Cm_540	3	3	3	3	2	0	3	topical
89	1rFJah4lGuj7DJHQFZUhAL_2400	3	3	3	3	2	3	3	topical
73	138gbx6PEJ3wyrdN0261GN_1620	2	3	2	2	2	2	2	topical
81	5Qgcir4UjkNVMa3orgxFUd_1200	3	3	3	3	2	0	3	topical
72	4g4dpBc0IcDRS9e2MjIny4_1320	1	0	1	1	2	0	1	topical
66	7Lsy31xJXsIAYZ7v3hUQSK_1800	0	0	1	0	1	0	0	topical
69	1Oaz6ViJHamjWnq49WUvK0_4200	2	1	2	3	2	1	2	topical
93	2aSNV6oB3YRzeKtpLmKX4e_1560	3	3	3	3	2	0	3	topical
79	5BbrteVCzHoduODAAWh8DG_1260	1	2	2	2	1	0	2	topical
61	2gdXzeME4Eit1uJELQaW24_180	1	2	2	2	2	0	2	topical
94	6COAZaZShYLCscfmvWwXLq_420	0	1	0	0	1	0	0	topical
102	4kg4I67eppQXtc3jD6pqUz_780	3	2	2	2	2	3	2	known-item
72	6EA2wfZjeZv233AyjJs0si_180	2	2	2	3	2	0	2	topical
99	5dlbK8SIXXV8iRpyk2ylQe_120	0	0	0	0	0	2	0	known-item
81	1MqlEZEgJRwBFXvXITSC5P_300	2	1	2	3	2	0	2	topical
70	5hzTois7A3qxl4R211Wml2_300	1	0	0	0	1	0	0	topical
89	3NdWHa0LaFkzwNaCsQBxX4_180	1	1	1	0	1	0	1	topical
90	5A3asiFmavZTJmELSV1VGk_2880	0	0	0	0	0	0	0	topical
88	3SohvaSz4TxQsYJpywkJTI_660	0	0	0	0	0	0	0	topical
71	7ke5FXQYhM5tkgfrIbz1As_4080	1	1	2	2	2	1	2	topical
80	703ycHBLa6Chady08lK24E_2160	1	1	2	2	1	0	1	topical
63	5Vza02daWoKktAaAaaz5Q9_540	3	3	2	3	2	1	3	topical
65	3xCBGSnjj1gOcCKHTzKgIK_1860	1	1	2	2	2	0	2	topical
99	1H08FDuco1wsZ59ObgeIZr_60	0	0	0	0	0	0	0	known-item
100	4e6K4tAgfADuw2aJqekjkx_840	0	0	0	0	0	0	0	known-item
87	4UazIZpXSQCWQM6giyXPmY_0	1	1	1	0	1	0	1	topical
63	5c7smY8aEYaEGuFpxQVd7o_1980	0	0	0	0	0	0	0	topical
98	6PyuDgdQvQdSFX4Ftt526n_3180	0	0	0	0	0	0	0	topical
67	0YNzW4tKOIVByvUgYFFtvb_1380	2	2	2	2	2	3	2	topical
59	5hpS5aQkT80BVDgDDYFjpf_60	0	0	0	0	0	0	0	topical
75	0eTfw2Rs3pVoN1fnFTDQKI_1200	1	0	2	3	2	0	2	topical
93	7t3D7lICRkqFu1Or5rPfhL_960	3	3	3	0	2	0	3	topical
83	7BUB2vaV7I8pLpRNKN2Z4o_1920	0	0	1	0	1	0	0	topical
76	60ZhHfVqo2NUQ44L6fP0bG_1680	0	0	0	0	1	1	0	topical
96	3qEEnaBRLUrcasJGqXp2qa_1620	0	0	0	2	1	0	0	topical
83	2HqzC5kD5zW6sQHnxkXpJm_1200	0	0	1	1	1	0	1	topical
78	2FMOejutQBLxuhKJZhtXBu_1500	2	1	2	1	1	0	1	topical
104	5zLteDdYT65NiFlV9sHC1i_1740	2	1	2	3	3	0	2	known-item
88	5FUPRXJtvtEnBPtkSNzHpz_1920	0	0	0	0	0	0	0	topical
59	5xcXkWe19XAv8dn43HYm9Z_720	0	0	0	0	0	0	0	topical
96	2iVOCY2OQNikS9I4LeNi5S_1140	0	0	0	0	0	0	0	topical
108	0lfPR0EjVOC5vExFUyJAvK_0	2	3	2	3	2	1	2	known-item
86	2z45nICSQn8vnF0fiuHC0Z_1080	1	0	0	0	1	0	0	topical
73	3JZOa2pJl9wnSknBxrCVt8_1080	3	3	3	3	3	0	3	topical
108	5IxqKvLowYzEONBKnVjD1v_600	1	0	1	0	1	0	1	known-item
90	3tMJOYQVmgOcjGK3m8rnwN_2160	2	2	2	3	2	1	2	topical
85	5xEwSew2BDPmEuzspuTtJc_1380	2	1	2	3	3	1	2	topical
85	4LkY8M6Huuo6PeKk0M8RBd_300	1	2	1	0	1	0	1	topical
83	0kXHRh7Ycb1vrK60ExyrCV_0	0	0	1	3	2	0	0	topical
71	7mi8FXOshEmIlXDSUeLB8A_120	1	1	2	0	2	0	1	topical
104	1NDVgyhIT4M9w62zJJDbga_1020	0	0	0	0	0	0	0	known-item
61	6PCwiYQOFXzYexE61AT5K7_540	0	0	1	0	2	0	0	topical
88	1ZZ2iamEPle2Uh8xAZJSUT_360	3	3	3	0	2	0	3	topical
104	2BSEZotJGZLzwAC7JtCFeE_0	0	0	0	0	0	0	0	known-item
84	0Y7CsSKgbQpdTG7g3ccOuP_1260	1	1	1	0	1	1	1	topical
67	02Bf3tvqEg44oVuJnfCGYB_1200	2	2	2	3	2	2	2	topical
63	7sVSq3hpGZUHlzzD5ENlmY_1920	2	2	2	3	2	0	2	topical
92	3AhF3hkRXsZtQ3WlqbOeu1_2160	0	0	1	1	1	2	1	topical
71	0SrxNV1Z9n0xWVyDRwlChi_2160	0	0	1	0	1	0	0	topical
70	1DbTXWeRGdt4IDViCRvYiD_0	1	1	0	1	1	0	1	topical
95	01rL0UCbdrohXTQzEarXyl_60	0	3	1	0	2	0	0	topical
73	65VstZ3EMj3Ue3kC30TEeJ_360	1	0	1	0	1	0	1	topical
92	7ConAhZLyz0EotRSpyRHFR_3660	1	1	2	2	1	0	1	topical
79	64Rns5VOMDR7PzdShmQHhx_1140	1	1	2	3	1	0	1	topical
72	46E2o8mbxbtRjapxGrVs6S_60	2	1	2	0	2	0	2	topical
67	2SBkKhN9gkKeIVcSlCtvYE_1260	0	0	2	0	1	0	0	topical
101	2LeMfAvZW9PIE5rGFZLZrq_2340	0	0	0	0	0	0	0	known-item
78	13O8S9JSLYXR2RzV0pSsrF_2700	0	0	0	0	1	0	0	topical
73	4DbIM4ucaXqElmo0gHyaSd_660	3	3	3	3	2	1	3	topical
97	4s7iP1AlHeKo7Tfs6SsJ2n_900	0	0	1	0	1	0	0	topical
94	0Cfh6w7YretRdYodHUB7hW_0	0	1	1	0	2	0	1	topical
76	3jAWEB1PP5NyhDko30aJ8C_0	2	2	2	0	2	0	2	topical
106	1sk3M8EHFgmxtWtAx2DHGX_0	0	0	1	0	0	0	0	known-item
71	3MKEQjwY4wIkzrBtdq5PKw_120	0	0	0	0	0	0	0	topical
86	5DHgCFVVTzzo8IKIA0TPuC_600	1	1	1	0	1	0	1	topical
83	4QbUyHNcCb1OFv08nHgJOl_0	0	0	1	3	2	0	0	topical
82	1o3U0JMCSX27nNMdCg905R_60	1	2	2	0	2	0	2	topical
64	5dZIoT1JKlYwsZApG4Zdqt_420	0	0	0	0	0	0	0	topical
97	1IJ2g42191l7SRsOOER63A_2820	3	3	3	3	3	0	3	topical
100	7J45TIPEI2RuRuPKlEFASv_1740	0	0	0	0	0	0	0	known-item
69	5Aeo58YYyZ2SjqtgghdMFS_720	0	0	0	0	0	0	0	topical
61	6MtYZKeGTwMvYDATIdHm74_1200	0	1	0	0	0	0	0	topical
106	02KUrJYmgBJL9UvmP2HiXw_2160	2	1	1	1	1	0	1	known-item
92	1n4GLIYgSTI0t92VsRe6fl_240	0	0	0	0	1	0	0	topical
83	6bdXhJesO04zomelTdV4SD_0	1	0	0	0	1	0	0	topical
91	2ZHxvYEyBtt0fo0UpO5Ap1_60	0	0	0	0	0	0	0	topical
94	5dMZ95e680GLg7AJCtdngn_60	0	0	1	0	1	0	0	topical
66	276KjzjDGXvBrtoUXq5lPu_2100	0	0	0	0	0	0	0	topical
83	2fklqob5rneCLNEwnOdIvR_0	0	0	1	0	0	0	0	topical
76	2y5PAzzXKxHqBpn7yzwWnA_3000	0	0	0	0	0	0	0	topical
64	14GAfvrlqqdbQxj7divybW_1200	2	1	2	2	3	0	2	topical
86	58kW2jQH0lqurIVc34yU7l_2640	0	0	0	0	1	0	0	topical
105	39MN7yibA8bLos1f63bO1g_1140	2	2	2	3	3	0	2	known-item
101	2sZOvVoFgPR9gWqDBwpgLl_240	0	0	0	0	0	0	0	known-item
84	3kR7b1Eg7yZXOv8Mo8awdq_360	0	0	1	2	1	1	0	topical
61	2eEj6LixRkvSc4DAwuFLQR_1800	1	1	2	1	1	1	1	topical
95	08sQKD9ulzUzu5XVcSSBYU_2580	0	0	0	0	0	0	0	topical
71	3X2AZ9bv34IAMJqpRoUTRC_300	1	1	2	0	1	1	1	topical
105	3MohL5RvOjJcro2CF4Lty8_1260	0	0	1	2	2	0	0	known-item
99	5devQMLAcshdIu3bZ6mHSS_1560	0	0	0	0	0	0	0	known-item
91	38BLEt4bobXypwgHESf61O_1260	1	1	2	2	1	0	1	topical
84	7zmPkrM5YxsJncemNVbGAP_1380	3	3	3	3	2	2	3	topical
69	6SfmTE4itN8jqNUEXlSV3q_3300	0	0	0	0	1	0	0	topical
66	56nCIXL8XNHKK1Cjn3P60M_1560	3	3	3	3	3	3	3	topical
100	3rJ0uFXUkDn0e8ygfer6aH_480	0	0	0	0	0	0	0	known-item
72	3yMqjgsuyQB1mJAA94eYo8_2280	0	0	0	0	0	0	0	topical
65	0BsLzoeNNaOwGXEjF1Z8ua_1740	0	0	0	0	0	0	0	topical
94	6rZtLwGKXE97t5pnYeVvhP_1500	3	2	2	2	2	0	2	topical
81	6davRArhEHmAyaQ9l5Tl9Y_1440	2	3	2	3	2	0	2	topical
79	3pav1QtHpUa8MkdvfP4Sjg_3240	3	2	2	3	3	0	3	topical
66	1vZn9D1cthcSH9cTE2gFie_120	0	0	2	0	1	0	0	topical
96	5r7FDxah5as7705n8PFIFc_2940	1	0	2	0	1	0	0	topical
76	7pwTP4AW9F7ulXJBEgUIpN_2640	0	0	0	0	0	0	0	topical
104	1NDVgyhIT4M9w62zJJDbga_0	3	3	3	3	3	2	3	known-item
67	7Aqn0fo4jG17u88AAHA0EX_1620	0	0	0	0	0	0	0	topical
90	1vFU33cYLNqqJhDC1GJXM7_2640	3	3	3	3	2	2	3	topical
99	3jbhjs3XQUHZLJE9mXAUmA_660	0	0	0	0	0	0	0	known-item
70	3HE5IZ1VHr7YQEBMXtkfWO_0	1	1	0	1	1	0	1	topical
85	1noh0zh17JkiDSVMTOjvgE_360	3	3	3	3	3	0	3	topical
71	1xkl5FTN2qr0XRmKF8VhkJ_2340	1	1	2	0	1	0	1	topical
65	0Ztmru6USO2yxTr0q3gKlq_660	2	3	2	3	2	0	2	topical
99	1k1vubBaXiYSYX6iBMA0a3_0	0	0	0	0	0	0	0	known-item
84	0uk6XxB9CCSgrzYScFFkf7_4320	0	0	0	0	0	0	0	topical
98	7nnd4eZNV3tnvXw75jtC05_1620	0	0	0	0	1	0	0	topical
62	0eNR4nnLm3ToJK2VINR1TM_1500	1	3	2	2	1	2	2	topical
67	5yKLkc8n84uEA2xM1D2R1N_540	2	2	2	2	1	0	2	topical
78	3iBS80Eb1xe4g5vSYqaDUp_120	1	0	1	0	1	0	1	topical
79	64Rns5VOMDR7PzdShmQHhx_540	1	3	2	3	2	0	3	topical
86	7oZAQw8fQPp7btzWz1bqFa_2040	0	0	0	0	0	0	0	topical
86	11DFTTGAeIzhYciBtqLrF3_1860	0	0	0	0	0	0	0	topical
80	46ZQRSCsGkJyT0JNeNDmqI_3360	3	2	2	2	2	0	2	topical
75	775akAlZeqQdG8TFfIwqmT_1320	0	0	1	0	0	0	0	topical
74	6ueM89c4Mto84vVqB427zA_1140	1	2	1	0	2	0	1	topical
78	5elLlOGaqEK18fR3OXAcZ6_540	0	0	1	1	1	0	1	topical
62	5fyJk5x020hTJgw96N1klK_1500	0	1	1	0	1	3	1	topical
107	2841i3iOMjPp06qRfOsoVu_600	1	0	1	0	0	0	0	known-item
77	4gXKYdCua5mu2gPuwvArLe_1980	0	0	0	0	1	1	0	topical
96	3vFaP1egA5WJhYSI1TiMqG_2040	0	0	0	0	0	0	0	topical
91	42gMg0yfIBdTdgDCuhH4n0_600	1	1	2	0	0	0	1	topical
92	0ofqPOfPHzwLLje9nHgSsb_1920	0	0	1	2	1	0	0	topical
73	2ZZxCyC3nT3Qf9FWpDb2Eq_540	3	3	2	3	2	0	3	topical
99	3AkakkHFEaIIut0NHUCnDt_1320	0	0	1	0	0	0	0	known-item
87	3dWaoVBdRiEeyqBRtnptct_180	1	1	1	0	1	0	1	topical
92	1t6oPcQTMdGtjmEtj9EHZo_1020	0	0	1	0	0	0	0	topical
82	6IjczUc3VsaaLGU7WkE6nL_1860	2	3	2	2	3	0	2	topical
93	70D9uHVXRGNsgN3C9MwZJL_2040	1	1	2	0	2	0	1	topical
74	5rGyqdF5EFip74MIAbwLum_180	1	2	2	2	1	0	2	topical
74	7uA1cb2B25JA3twFnkKnm4_2160	2	2	2	2	2	0	2	topical
95	0pbiH84HakzQMKkkNLNfif_360	0	0	0	0	0	0	0	topical
98	70bJ03KHczSvnbdFJtrBXM_2460	1	2	2	3	2	2	2	topical
82	64GLZVVDxTqiqjoYzFU7Fw_1200	2	2	3	0	2	0	2	topical
102	3BiN6K78ySvgCewlVer4sn_1440	0	0	0	0	0	0	0	known-item
81	1NR5yRrCBxVAEdrE8cHQaW_240	1	1	1	0	0	0	1	topical
86	7yrpRCDrTqSBQCfpjnFCwC_360	2	1	2	1	2	0	2	topical
66	0V6ZYapQX4rZXcn03nn03G_3180	1	2	2	0	2	0	2	topical
101	2hYMBBijiaBvtFuYPNgTqh_420	0	0	0	0	0	0	0	known-item
89	5wQsZrdzSleIAJQO3Lluqj_60	0	1	1	0	1	0	1	topical
70	2pQBefxqScSySQ3AmkYars_2640	0	0	0	0	1	0	0	topical
97	3QGmWCiVOsKzY85lnSglF6_1200	3	3	3	0	3	0	3	topical
80	0QiKGekutuEqZwzFlby8qC_1020	2	2	2	2	2	1	2	topical
100	00qkuJg3UuYmy0Mg5AESlF_1800	1	2	1	3	1	3	1	known-item
90	7bhpaH7DjGhPjTbebio52Q_1500	2	1	2	1	2	0	2	topical
83	0Iyt4Z9f2CLDElfRiv2zop_0	0	0	0	3	1	0	0	topical
71	0iVtdxkmJ86QY5e1lxQl4D_120	2	1	2	2	1	0	2	topical
80	1RethP9HiJtZSY3YtQvEXO_2820	1	1	1	2	1	0	1	topical
83	4rM0dVdRRxCzwZdNxAqa3O_0	1	0	1	3	2	0	1	topical
88	4FoeZz5MpiWbQTYC29C5V9_1140	1	2	1	0	2	0	1	topical
68	1CUCpET5xsyfviJ5RGxUpk_1140	0	0	0	0	1	0	0	topical
72	570YBiNGPDQnJ7gjtguvkz_2520	3	0	2	2	2	0	2	topical
76	3eYULL7R6fxSyKpMOusDpK_60	0	0	0	0	0	0	0	topical
79	2Ygu336Y88m9DRgkHY6CnZ_2700	2	1	2	3	2	0	2	topical
99	674FPsnyraKoojip7POBiq_60	0	0	0	0	0	0	0	known-item
62	6mYHVQpPxv3pT2En5Stylt_360	3	3	3	3	3	3	3	topical
78	78UtAATELY5dMNkuUPebjt_180	1	1	1	2	2	0	1	topical
91	0kcvHXS5158wEy9hHew5bw_1020	1	2	2	2	1	2	2	topical
66	2iGSiMrF9vUxUuNdfTABbn_1140	3	2	2	2	2	1	2	topical
92	35JrlHsIhyvPWpwd3Zpi3T_120	0	0	0	0	0	0	0	topical
67	6Puai2lA8zCIG4hgPVZNwM_1980	0	0	0	0	0	0	0	topical
89	1muaG8jVzCLKaZFwwFhnHN_3840	2	2	2	3	1	0	2	topical
74	5CzwyEbPwhr8UyQvYPaFV6_720	1	1	1	0	1	0	1	topical
66	2bvGEuBDPsjJ7nzauScdrY_1440	0	0	0	0	0	0	0	topical
98	3URF7VVSis1hlobvBVGTbD_1860	0	0	2	0	1	0	0	topical
61	7io9RZyprEW2NOqtxJ0vj9_2460	0	0	1	0	0	0	0	topical
86	3nRHuu1nXHIJQs7ck8FN2U_540	0	0	0	0	0	0	0	topical
76	3LLZTWtEUiGCdUmykjiE0o_120	0	0	0	0	0	0	0	topical
106	3zUsmt4BisNjWZzWqIzaup_720	3	2	2	3	2	2	2	known-item
93	7AaIHidpv7WNxV8fY0WpJT_2520	0	0	1	0	0	0	0	topical
70	7fiHJUCD2XxOkfAJ9Ep2ym_420	1	1	1	3	1	0	1	topical
79	0LVKuLtiRPOzR5Vu1nbDaQ_1380	0	1	1	0	1	0	1	topical
83	1v4u4IogT1tWTj0IWFnDYL_0	0	0	1	3	2	0	0	topical
70	34VkUNE9fXKHUssaXNG87d_0	1	1	0	0	0	0	0	topical
99	5dlbK8SIXXV8iRpyk2ylQe_600	0	0	0	0	0	2	0	known-item
104	3EEJUpCA4c6OaLlF7RZWZD_0	0	0	0	0	0	0	0	known-item
107	7DOfhtOOV01euzNS6Jk9P0_780	0	0	0	0	0	0	0	known-item
74	5XFiJJ7UFOX2EpByAmTME5_660	0	0	0	0	1	0	0	topical
71	4xN4xsoPaHfBLCGHmDYu8x_240	1	0	2	3	1	0	1	topical
89	4gcrauFuTXsErtJfq3cSbp_60	2	2	1	3	2	0	2	topical
82	4D2MXQruVhXiKG7UCsT7co_0	2	2	2	2	3	0	2	topical
94	1pxtL0JoJ0O40usMa7BK9W_480	2	3	2	2	3	0	2	topical
82	1agoKEeMKOyY7PuzgN6K5g_1320	1	2	2	0	2	0	2	topical
101	4SsTdHP8IFpTZ2jmJ8YBm3_240	0	0	0	0	0	0	0	known-item
95	1thkNrSqwToi96IBiMRwOO_120	3	3	1	0	2	3	3	topical
85	42lieYSNmjK1WVGtWL66Q6_780	1	2	2	3	2	0	2	topical
104	41yTmSHV80LW1tv1EQtTC7_2460	1	0	1	3	2	0	1	known-item
94	72gvpDLD9KOSrBFSf2SyRF_4080	0	0	0	0	0	0	0	topical
87	45eG0ebsrPgiX5XDAG8HQN_2160	1	2	2	0	1	1	2	topical
100	0FbFqoup2U9xNNyBojFFM8_720	0	0	0	0	0	0	0	known-item
75	6YkbTQeIZG3OH4Qj5BlFsO_2580	0	0	1	0	1	0	0	topical
63	3LZQqLmOWpATYxnfvLzdN9_3000	0	0	0	0	0	0	0	topical
97	5fw2suOVnZoPna6NOIiaFF_2520	1	3	2	2	3	0	2	topical
81	3BtWjtKjIJAGdxjpLKU7ID_0	2	2	1	3	2	1	2	topical
99	0bM9CnrDPnTPiUVzlHvhUU_1140	0	0	0	0	0	0	0	known-item
102	5wDAdc9TDXezbpx9gCzi5b_120	0	0	0	0	0	0	0	known-item
88	2gfJrdvsX6oFlQ9h85GJKd_420	0	0	0	0	0	0	0	topical
61	39LPpB3Ur1ISx7Q8D0SghE_2160	0	0	1	0	1	0	0	topical
94	17AlefPQ6RpbfSOXz92EWB_60	2	1	1	1	1	0	1	topical
72	1GLHmWMlbs9YVTEjRzapp5_1560	3	2	2	2	2	1	2	topical
85	5WO9MgGsjtuVMYdImBPFyO_3660	1	1	2	0	1	0	1	topical
93	3WBMvGA6OUr3lZi7urtXOM_1020	0	0	1	0	0	0	0	topical
85	1X37L21dzrhSyYBqeon9Zp_0	3	3	3	3	3	1	3	topical
97	31fM42hR9QZmr3M2gjm9JI_300	0	0	0	0	0	0	0	topical
60	2enTK5BziRCdpLbuFZFkLg_960	0	0	0	1	1	0	0	topical
91	5NXbMUHCW85CfLsaMc1rnX_1380	1	1	1	2	1	0	1	topical
87	4GGCJD2t46LkZb3Xsp2jvh_3720	0	0	1	0	1	0	0	topical
92	6DtEYWOOCwXaqBKAiJg7Jq_0	0	0	0	0	1	0	0	topical
67	6cwPvTbbDdeKZMIvwOlLXy_900	0	0	1	0	0	0	0	topical
76	7370i9VOGLsZmD7yhFJRdT_300	0	0	0	0	0	0	0	topical
71	3TPvepebx8mQYFwkUrIJGX_180	2	0	2	2	1	1	2	topical
65	00Ynqhtpy78OHMuWhdu2uH_660	2	0	1	3	1	0	1	topical
60	7Ga2SjtmbBH8e4Qab80H4V_60	2	2	2	2	1	0	2	topical
97	31rjINVSSzfJAIO88b5SgJ_1380	3	3	3	3	3	0	3	topical
79	2wb5g5NpttwrRwntU87qtr_420	0	0	0	0	0	0	0	topical
72	3s2T3rWaBxEIMB83aomM3B_3720	3	2	2	1	2	0	2	topical
104	1NDVgyhIT4M9w62zJJDbga_1500	0	0	0	0	0	1	0	known-item
83	4CVuOhweXfgM4715xIfu1v_120	0	2	1	3	1	0	1	topical
101	2sZOvVoFgPR9gWqDBwpgLl_1680	0	0	0	0	0	0	0	known-item
69	3TGY0vMIEghel6QP4pP0Tv_540	1	2	2	2	2	0	2	topical
